"","postcode","suburb","Year","OffenceDivision","OffenceSubdivision","OffenceSubgroup","IncidentsRecorded","lat","lon"
"2",3000,"MELBOURNE",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",549,-37.814563,144.970267
"11",3000,"MELBOURNE",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",85,-37.814563,144.970267
"43",3000,"MELBOURNE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",524,-37.814563,144.970267
"60",3000,"MELBOURNE",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",270,-37.814563,144.970267
"111",3000,"MELBOURNE",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",495,-37.814563,144.970267
"127",3000,"MELBOURNE",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.814563,144.970267
"144",3000,"MELBOURNE",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",88,-37.814563,144.970267
"158",3000,"MELBOURNE",2009,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.814563,144.970267
"165",3000,"MELBOURNE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.814563,144.970267
"169",3000,"MELBOURNE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",538,-37.814563,144.970267
"174",3000,"MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",273,-37.814563,144.970267
"189",3000,"MELBOURNE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",46,-37.814563,144.970267
"191",3000,"MELBOURNE",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",446,-37.814563,144.970267
"196",3000,"MELBOURNE",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",80,-37.814563,144.970267
"206",3000,"MELBOURNE",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",653,-37.814563,144.970267
"220",3000,"MELBOURNE",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",460,-37.814563,144.970267
"242",3000,"MELBOURNE",2012,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.814563,144.970267
"244",3000,"MELBOURNE",2017,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.814563,144.970267
"249",3000,"MELBOURNE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",68,-37.814563,144.970267
"250",3000,"MELBOURNE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-37.814563,144.970267
"262",3000,"MELBOURNE",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",522,-37.814563,144.970267
"263",3000,"MELBOURNE",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.814563,144.970267
