Year,OffenceDivision,OffenceSubdivision,OffenceSubgroup,IncidentsRecorded,"Rate"
2017,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,73,1.2
2017,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,12,0.2
2017,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,5,0.1
2017,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,36,0.6
2017,A Crimes against the person,A10 Homicide and related offences,A11 Murder,56,0.9
2016,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,67,1.1
2016,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,2,0.0
2016,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,5,0.1
2016,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,48,0.8
2016,A Crimes against the person,A10 Homicide and related offences,A11 Murder,61,1.0
2015,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,56,0.9
2015,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,9,0.2
2015,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,5,0.1
2015,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,30,0.5
2015,A Crimes against the person,A10 Homicide and related offences,A11 Murder,52,0.9
2014,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,54,0.9
2014,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,12,0.2
2014,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,10,0.2
2014,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,29,0.5
2014,A Crimes against the person,A10 Homicide and related offences,A11 Murder,50,0.9
2013,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,49,0.9
2013,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,13,0.2
2013,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,9,0.2
2013,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,23,0.4
2013,A Crimes against the person,A10 Homicide and related offences,A11 Murder,44,0.8
2012,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,64,1.1
2012,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,16,0.3
2012,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,7,0.1
2012,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,28,0.5
2012,A Crimes against the person,A10 Homicide and related offences,A11 Murder,52,0.9
2011,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,40,0.7
2011,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,9,0.2
2011,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,5,0.1
2011,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,27,0.5
2011,A Crimes against the person,A10 Homicide and related offences,A11 Murder,40,0.7
2010,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,58,1.1
2010,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,5,0.1
2010,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,6,0.1
2010,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,38,0.7
2010,A Crimes against the person,A10 Homicide and related offences,A11 Murder,48,0.9
2009,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,53,1.0
2009,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,18,0.3
2009,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,10,0.2
2009,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,52,1.0
